"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ATM",-0.471829589035917,6.41125002236939,-2.58766496795238,0.0107134131725288,0.50329945225795,-2.77422556682127
"ANKRD34A",-0.70344817243567,0.0607486898737635,-2.58625830122655,0.0107551316830541,0.50329945225795,-2.81635292069874
"TIMM10B",0.218453910011716,5.66858525481553,2.58410345341836,0.0108193227514264,0.50329945225795,-2.78250303595105
"ITPR1",-0.506035832045772,5.00796477305499,-2.58238744182016,0.0108706873202205,0.50329945225795,-2.76865125613624
"TIMD4",-1.79088801741397,0.114696447860128,-2.58218109126475,0.0108768786511845,0.50329945225795,-2.87189829886281
"CSTA",-0.906194391915817,2.57048264954185,-2.57851214964968,0.0109874916874786,0.50329945225795,-2.77522035989802
"ADRA1A",-0.781320273995092,1.25421097130326,-2.57727802797397,0.0110249250955144,0.50329945225795,-2.81590163078481
"VCAM1",-0.739624884308465,5.88080206433487,-2.57696631569633,0.0110343980638414,0.50329945225795,-2.81860854052917
"ZNF277",0.325183911170708,4.66623570600926,2.57614967656985,0.0110592504898311,0.50329945225795,-2.78287919389664
"GPRC5A",0.592305505238935,6.79011868488507,2.57580189387174,0.0110698496671628,0.50329945225795,-2.81113355939152
"NEU4",0.661465765752772,4.16939287051084,2.57491431732441,0.0110969412059584,0.50329945225795,-2.78264890899524
"ZBTB26",-0.38731327494092,2.98104275300081,-2.57172996485227,0.0111946280768579,0.50329945225795,-2.80223170993198
